gene_id,symbol
67367,1810007M14Rik
66526,2210012G02Rik
66618,2610209M04Rik
66308,2810021B07Rik
76022,5830417I10Rik
245695,A630018P17Rik
106894,A630042L21Rik
56321,Aatf
11350,Abl1
30946,Abt1
80283,Abtb1
11538,Adnp
240442,Adnp2
11568,Aebp1
11569,Aebp2
14797,Aes
17355,Aff1
16764,Aff3
93736,Aff4
226747,Ahctf1
11622,Ahr
11632,Aip
11634,Aire
216285,Alx1
11694,Alx3
11695,Alx4
68558,Ankra2
107765,Ankrd1
102334,Ankrd10
56642,Ankrd2
52024,Ankrd22
105377,Ankrd32
208258,Ankrd33
73845,Ankrd42
73844,Ankrd45
56503,Ankrd49
319196,Ankrd5
223690,Ankrd54
77318,Ankrd55
268301,Ankrd57
140577,Ankrd6
75196,Ankrd7
224650,Anks1
72615,Anks3
52231,Ankzf1
11785,Apbb1
11787,Apbb2
11789,Apc
11792,Apex1
11835,Ar
93760,Arid1a
239985,Arid1b
13496,Arid3a
56380,Arid3b
238247,Arid4a
94246,Arid4b
71371,Arid5b
11863,Arnt
11864,Arnt2
11865,Arntl
272322,Arntl2
11878,Arx
65247,Asb1
117590,Asb10
68854,Asb11
70392,Asb12
78910,Asb15
65257,Asb3
65255,Asb4
72323,Asb6
78541,Asb8
69299,Asb9
69090,Ascc1
75452,Ascc2
77987,Ascc3
17172,Ascl1
17173,Ascl2
56787,Ascl3
192195,Ash1l
23808,Ash2l
228790,Asxl1
11908,Atf1
11909,Atf2
11910,Atf3
11911,Atf4
107503,Atf5
226641,Atf6
223922,Atf7
54343,Atf7ip
11920,Atm
11921,Atoh1
330361,AW146020
12013,Bach1
12021,Bard1
54422,Barhl1
104382,Barhl2
12022,Barx1
12023,Barx2
53314,Batf
381319,Batf3
217578,Baz1a
22385,Baz1b
407823,Baz2b
70508,Bbx
229003,BC006779
381067,BC043476
237775,BC050078
408062,BC062115
434178,BC063263
271887,BC066135
14025,Bcl11a
58208,Bcl11b
12051,Bcl3
12053,Bcl6
12029,Bcl6b
72567,Bclaf1
71458,Bcor
544971,Bdp1
20893,Bhlhb2
79362,Bhlhb3
17341,Bhlhb8
30948,Bin1
66352,Blzf1
12151,Bmi1
12173,Bnc1
69168,Bola1
654483,BOLA2B
12189,Brca1
12190,Brca2
26992,Brd7
114642,Brdt
72308,Brf1
237911,Brip1
78783,Brpf1
268936,Brpf3
93871,Brwd1
107182,Btaf1
74007,Btbd11
218490,Btf3
12226,Btg1
12227,Btg2
112415,C030039L03Rik
217653,C79407
19777,C80913
67488,Calcoco1
241066,Carf
69743,Casz1
12396,Cbfa2t2
12398,Cbfa2t3
12400,Cbfb
12417,Cbx3
12418,Cbx4
494448,Cbx6
52609,Cbx7
30951,Cbx8
12457,Ccrn4l
71702,Cdc5l
12590,Cdx1
12591,Cdx2
12592,Cdx4
12606,Cebpa
12608,Cebpb
12609,Cebpd
110794,Cebpe
12611,Cebpg
12607,Cebpz
12616,Cenpb
60411,Cenpk
213990,Centg3
27221,Chaf1a
12648,Chd1
244059,Chd2
107932,Chd4
269610,Chd5
320790,Chd7
67772,Chd8
211151,Churc1
71722,Cic
12265,Ciita
12705,Cited1
17684,Cited2
56222,Cited4
12753,Clock
12785,Cnbp
72068,Cnot2
232791,Cnot3
104625,Cnot6
231464,Cnot6l
18983,Cnot7
69125,Cnot8
58202,Cobra1
12812,Coil
12848,Cops2
26754,Cops5
12904,Crabp2
57354,Cramp1l
12912,Creb1
12913,Creb3
26427,Creb3l1
208677,Creb3l3
78284,Creb3l4
12914,Crebbp
12915,Crebl1
232430,Crebl2
233490,Crebzf
433375,Creg1
382056,Crtc1
12951,Crx
12952,Cry1
56449,Csda
105859,Csdc2
229663,Csde1
13008,Csrp2
13009,Csrp3
13016,Ctbp1
13018,Ctcf
664799,Ctcfl
67655,Ctdp1
69274,Ctdspl
12387,Ctnnb1
67087,Ctnnbip1
66642,Ctnnbl1
22083,Ctr9
13047,Cux1
13048,Cux2
74322,Cxxc1
234358,D10627
13132,Dab2
13134,Dach1
93837,Dach2
13163,Daxx
23994,Dazap2
13170,Dbp
75901,Dcp1a
13194,Ddb1
107986,Ddb2
13198,Ddit3
53975,Ddx20
13207,Ddx5
71990,Ddx54
54006,Deaf1
21945,Dedd
67379,Dedd2
110052,Dek
102442,Dennd4a
64340,Dhx38
23856,Dido1
208440,Dip2c
13390,Dlx1
13392,Dlx2
13393,Dlx3
13394,Dlx4
13395,Dlx5
66233,Dmap1
140477,Dmbx1
50796,Dmrt1
226049,Dmrt2
240590,Dmrt3
242523,Dmrta1
56296,Dmrtb1
71241,Dmrtc2
23857,Dmtf1
22791,Dnajc2
13433,Dnmt1
13435,Dnmt3a
54427,Dnmt3l
208266,Dot1l
29861,Dpf1
19708,Dpf2
70127,Dpf3
13486,Dr1
66556,Drap1
14357,Dtx1
623474,E130016E03Rik
13555,E2f1
242705,E2f2
13557,E2f3
104394,E2f4
13559,E2f5
50496,E2f6
108961,E2f8
13560,E4f1
74427,Eaf1
13591,Ebf1
13592,Ebf2
13593,Ebf3
228598,Ebf4
70601,Ecd
59022,Edf1
13626,Eed
433182,EG433182
434373,EG434373
633752,EG633752
667823,EG667823
13653,Egr1
13654,Egr2
13655,Egr3
13656,Egr4
13661,Ehf
77683,Ehmt1
110147,Ehmt2
19106,Eif2ak2
226982,Eif5b
15569,Elavl2
